user_no,user_name,class_no,course_class,events_count,briefing_count,interview_count,inactivity_days,start_delay_days,two_week_violation_rate,dev_inactivity,dev_start_delay,dev_events,dev_two_week_violation,excluded_good,followup_candidate
20203053,山下直樹,s2a109,S,2,1,0,1378,-752,1.0,64.6173858131327,35.36717309969019,61.71497276650723,101.62078176343852,False,True
20194020,橋本杏奈,r3a228,R,2,1,0,1386,-741,1.0,64.99031225875163,35.27522788514044,59.83944355567975,79.38570857512309,False,True
20194033,佐藤陸,r3a138,R,2,1,0,1374,-728,1.0,64.75812065508626,35.52489105998951,59.83944355567975,79.38570857512309,False,True
20203055,中村優樹,s2a110,S,1,0,0,1378,-728,0.0,64.6173858131327,35.82781522849158,64.55830576157672,44.883919731827774,False,True
20203060,中島陸,s2a104,S,1,1,0,1373,-723,0.0,64.5216581874908,35.92378233865854,64.55830576157672,44.883919731827774,False,True
20203007,山田悠斗,s2a202,S,1,0,0,1358,-708,0.0,64.2344753105651,36.211683669159406,64.55830576157672,44.883919731827774,False,True
20212040,加藤直樹,j2a101,J,1,0,0,1368,-719,0.0,64.09323117789613,36.278198864691475,62.96895154543915,46.21705030408876,False,True
20194035,中村翔太,r3a236,R,1,1,0,1398,-735,0.0,65.22250386241699,35.39045704276308,62.466663401098735,42.95019082581278,False,True
20194034,斎藤杏奈,r3a219,R,1,1,0,1375,-712,0.0,64.77746995539171,35.8321688136499,62.466663401098735,42.95019082581278,False,True
20194074,井上翔太,r3a235,R,1,1,0,1365,-702,0.0,64.58397695233724,36.02421740968765,62.466663401098735,42.95019082581278,False,True
20194029,佐藤優奈,r3a129,R,1,0,0,1359,-696,0.0,64.46788115050455,36.1394465673103,62.466663401098735,42.95019082581278,False,True
20222009,山下太郎,j1a110,J,2,1,0,992,-363,1.0,56.868681001712496,43.10771148661671,60.07032963654247,89.18863049534261,False,True
20222030,小林遥,j1a107,J,2,1,0,991,-363,1.0,56.84946677252052,43.10771148661671,60.07032963654247,89.18863049534261,False,True
20203014,池田優奈,s2a407,S,3,1,0,1363,-736,0.5,64.330202936207,35.674267852224446,58.87163977143774,73.25235074763314,True,True
20204034,井上拓也,r3a121,R,2,1,0,1003,-362,1.0,57.57953024176543,42.55386967497107,59.83944355567975,79.38570857512309,False,True
20204078,高橋凛,r3a124,R,2,1,0,993,-360,1.0,57.38603723871096,42.59227939417862,59.83944355567975,79.38570857512309,False,True
20204079,佐々木直樹,r3a104,R,2,0,0,990,-357,1.0,57.32798933779462,42.649893972989936,59.83944355567975,79.38570857512309,False,True
20232043,渡辺太郎,j2a112,J,2,1,0,626,-3,1.0,49.83627311744864,50.013960205417504,60.07032963654247,89.18863049534261,False,True
20214070,木村結衣,r3a211,R,2,1,0,623,11,1.0,50.22679612569557,49.71728230717905,59.83944355567975,79.38570857512309,False,True
20214038,池田拓也,r3a216,R,2,1,0,623,3,1.0,50.22679612569557,49.56364343034885,59.83944355567975,79.38570857512309,False,True
20242031,中村陸,j2a109,J,2,1,0,263,367,1.0,42.861507920760715,57.11204916640721,60.07032963654247,89.18863049534261,False,True
20222039,高橋拓也,j2a116,J,3,1,0,1002,-369,0.5,57.060823293632275,42.99260734130336,57.17170772764578,67.70284039971568,True,True
20224055,清水陸,r3a134,R,2,1,0,261,379,1.0,43.222349415123766,56.78467064136815,59.83944355567975,79.38570857512309,False,True
20252014,松本遥,j2a102,J,2,1,0,-103,719,1.0,35.82910003649686,63.86482569145687,60.07032963654247,89.18863049534261,False,True
20204002,前田太郎,r3a107,R,3,2,0,1001,-358,0.5,57.54083164115454,42.63068911338617,57.212223710260766,61.16794970046793,False,True
20212023,木村杏奈,j2a113,J,1,0,0,1356,-707,0.0,63.8626604275924,36.508407155318174,62.96895154543915,46.21705030408876,False,True
20213059,小林優樹,s2a312,S,4,2,0,991,-372,0.3333333333333333,57.20806758844975,42.660673472378875,56.028306776368254,63.79620707569802,True,True
20194054,林結衣,r3a206,R,4,2,0,1365,-743,0.3333333333333333,64.58397695233724,35.23681816593289,54.58500386484178,55.095363408916214,True,True
