user_no,class_no,user_name,start_datetime,end_datetime,company_name,event_kind,result_kind
20194046,r3a208,鈴木太郎,2021-12-06 06:00:00+00,2021-12-06 07:00:00+00,株式会社サンライズ,説明会_単,他
20194073,r3a202,中島悠斗,2022-01-26 04:00:00+00,2022-01-26 05:00:00+00,株式会社スカイ,セミナー,他
20194015,r3a225,阿部拓也,2022-01-28 01:00:00+00,2022-01-28 02:00:00+00,株式会社エコー,説明会_単,他
20194056,r3a113,伊藤葵,2022-01-30 01:00:00+00,2022-01-30 01:45:00+00,株式会社スカイ,試験_面接,不合格
20194055,r3a128,清水美咲,2022-02-02 01:00:00+00,2022-02-02 02:30:00+00,株式会社マーブル,試験_適正,結果待ち
20194013,r3a126,池田健太,2022-02-03 04:00:00+00,2022-02-03 04:45:00+00,株式会社ベータ,試験_面接,不合格
20194073,r3a202,中島悠斗,2022-02-03 04:00:00+00,2022-02-03 04:45:00+00,株式会社グリーン,試験_面接,不合格
20194046,r3a208,鈴木太郎,2022-02-04 01:00:00+00,2022-02-04 02:00:00+00,株式会社ライト,セミナー,他
20194032,r3a232,清水太郎,2022-02-04 01:00:00+00,2022-02-04 02:00:00+00,株式会社ハーモニー,セミナー,他
20194046,r3a208,鈴木太郎,2022-02-04 04:00:00+00,2022-02-04 05:00:00+00,株式会社サンライズ,インターン,他
20194015,r3a225,阿部拓也,2022-02-05 01:00:00+00,2022-02-05 01:45:00+00,株式会社ハーモニー,試験_面接,結果待ち
20203040,s2a106,山口結衣,2022-02-05 04:00:00+00,2022-02-05 05:00:00+00,株式会社ノヴァ,説明会_単,他
20194012,r3a215,木村彩香,2022-02-07 01:00:00+00,2022-02-07 02:00:00+00,株式会社クロス,セミナー,他
20194016,r3a209,田中陽菜,2022-02-07 04:00:00+00,2022-02-07 04:45:00+00,株式会社コア,試験_面接,結果待ち
20194054,r3a206,林結衣,2022-02-07 06:00:00+00,2022-02-07 07:30:00+00,株式会社ライト,試験_適正,辞退
20194063,r3a115,林海斗,2022-02-07 06:00:00+00,2022-02-07 06:45:00+00,株式会社アトラス,試験_面接,結果待ち
20194054,r3a206,林結衣,2022-02-08 01:00:00+00,2022-02-08 02:00:00+00,株式会社ライト,セミナー,他
20194089,r3a210,佐藤凛,2022-02-08 01:00:00+00,2022-02-08 02:00:00+00,株式会社エコー,セミナー,他
