user_no,class_no,user_name,authority,status
20194001,r3a123,林健太,student,valid
20194002,r3a201,中島凛,student,valid
20194003,r3a111,田中優奈,student,valid
20194004,r3a117,清水海斗,student,valid
20194005,r3a131,池田悠斗,student,valid
20194007,r3a139,森凛,student,valid
20194008,r3a124,吉田大輔,student,valid
20194009,r3a230,伊藤花子,student,valid
20194010,r3a241,前田悠斗,student,valid
20194011,r3a108,山田美咲,student,valid
20194012,r3a215,木村彩香,student,valid
20194013,r3a126,池田健太,student,valid
20194014,r3a106,山田太郎,student,valid
20194015,r3a225,阿部拓也,student,valid
20194016,r3a209,田中陽菜,student,valid
20194017,r3a211,清水優奈,student,valid
20194018,r3a127,林直樹,student,valid
20194020,r3a228,橋本杏奈,student,valid
20194021,r3a237,山口太郎,student,valid
20194022,r3a212,加藤悠斗,student,valid
20194023,r3a221,池田彩香,student,valid
20194025,r3a116,小林太郎,student,valid
20194028,r3a107,高橋陽菜,student,valid
20194029,r3a129,佐藤優奈,student,valid
20194030,r3a135,伊藤陸,student,valid
20194031,r3a122,渡辺結衣,student,valid
20194032,r3a232,清水太郎,student,valid
20194033,r3a138,佐藤陸,student,valid
20194034,r3a219,斎藤杏奈,student,valid
20194035,r3a236,中村翔太,student,valid
20194036,r3a205,鈴木杏奈,student,valid
20194038,r3a238,山崎拓也,student,valid
20194039,r3a136,鈴木健太,student,valid
20194040,r3a109,田中直樹,student,valid
20194041,r3a226,森花子,student,valid
20194042,r3a110,石川陸,student,valid
20194043,r3a130,森太郎,student,valid
20194044,r3a114,小林直樹,student,valid
20194045,r3a224,藤田直樹,student,valid
20194046,r3a208,鈴木太郎,student,valid
20194047,r3a203,鈴木優奈,student,valid
20194048,r3a216,阿部彩香,student,valid
20194049,r3a132,高橋彩香,student,valid
20194050,r3a204,藤田直樹,student,valid
20194051,r3a119,池田陽菜,student,valid
20194052,r3a140,林翔太,student,valid
20194053,r3a112,前田拓也,student,valid
20194054,r3a206,林結衣,student,valid
20194055,r3a128,清水美咲,student,valid
20194056,r3a113,伊藤葵,student,valid
20194057,r3a121,佐々木健太,student,valid
20194058,r3a217,田中海斗,student,valid
20194059,r3a102,小林優樹,student,valid
20194061,r3a239,清水美咲,student,valid
20194062,r3a207,佐々木海斗,student,valid
20194063,r3a115,林海斗,student,valid
20194064,r3a234,鈴木優奈,student,valid
20194065,r3a231,松本花子,student,valid
20194066,r3a125,林遥,student,valid
20194067,r3a220,阿部遥,student,valid
20194069,r3a134,池田美咲,student,valid
20194070,r3a104,佐々木直樹,student,valid
20194071,r3a105,吉田陸,student,valid
20194072,r3a223,森健太,student,valid
20194073,r3a202,中島悠斗,student,valid
20194074,r3a235,井上翔太,student,valid
20194075,r3a103,加藤彩香,student,valid
20194076,r3a218,松本花子,student,valid
20194077,r3a137,高橋陸,student,valid
20194078,r3a118,鈴木遥,student,valid
20194079,r3a133,吉田悠斗,student,valid
20194080,r3a240,加藤海斗,student,valid
20194081,r3a229,佐藤悠斗,student,valid
20194082,r3a227,石川悠斗,student,valid
20194083,r3a213,伊藤葵,student,valid
20194084,r3a233,田中直樹,student,valid
20194085,r3a222,前田拓也,student,valid
20194086,r3a214,池田凛,student,valid
20194087,r3a141,山崎凛,student,valid
20194088,r3a101,山田大輔,student,valid
20194089,r3a210,佐藤凛,student,valid
20194090,r3a120,井上悠斗,student,valid
20203001,s2a107,鈴木結衣,student,valid
20203003,s2a311,山下陸,student,valid
20203004,s2a408,山下健太,student,valid
20203005,s2a201,井上太郎,student,valid
20203006,s2a102,池田拓也,student,valid
20203007,s2a202,山田悠斗,student,valid
20203008,s2a312,森太郎,student,valid
20203009,s2a313,前田太郎,student,valid
20203010,s2a402,田中陽菜,student,valid
20203011,s2a302,伊藤彩香,student,valid
20203012,s2a301,林太郎,student,valid
20203013,s2a310,渡辺杏奈,student,valid
20203014,s2a407,池田優奈,student,valid
20203015,s2a412,井上海斗,student,valid
20203016,s2a210,佐藤結衣,student,valid
20203017,s2a113,田中杏奈,student,valid
20203018,s2a111,田中海斗,student,valid
20203019,s2a105,山崎拓也,student,valid
20203020,s2a305,渡辺太郎,student,valid
20203021,s2a306,阿部陸,student,valid
20203022,s2a203,田中遥,student,valid
20203024,s2a406,加藤直樹,student,valid
20203026,s2a401,小林優奈,student,valid
20203027,s2a108,佐藤健太,student,valid
20203028,s2a411,清水悠斗,student,valid
20203029,s2a308,伊藤太郎,student,valid
20203030,s2a207,前田美咲,student,valid
20203031,s2a114,中島拓也,student,valid
20203032,s2a208,松本陸,student,valid
20203034,s2a404,橋本優奈,student,valid
20203035,s2a112,山本凛,student,valid
20203036,s2a403,斎藤凛,student,valid
20203037,s2a303,斎藤健太,student,valid
20203039,s2a409,清水結衣,student,valid
20203040,s2a106,山口結衣,student,valid
20203041,s2a405,中村陸,student,valid
20203042,s2a212,橋本陽菜,student,valid
20203043,s2a213,鈴木彩香,student,valid
20203045,s2a309,加藤海斗,student,valid
20203046,s2a209,中島美咲,student,valid
20203047,s2a204,小林優奈,student,valid
20203048,s2a410,田中悠斗,student,valid
20203049,s2a307,鈴木陸,student,valid
20203050,s2a103,鈴木直樹,student,valid
20203051,s2a304,山崎陸,student,valid
20203052,s2a101,加藤悠斗,student,valid
20203053,s2a109,山下直樹,student,valid
20203055,s2a110,中村優樹,student,valid
20203056,s2a413,林結衣,student,valid
20203057,s2a211,鈴木海斗,student,valid
20203058,s2a206,井上花子,student,valid
20203059,s2a205,石川拓也,student,valid
20203060,s2a104,中島陸,student,valid
20204001,r3a108,渡辺海斗,student,valid
20204002,r3a107,前田太郎,student,valid
20204003,r3a235,松本直樹,student,valid
20204004,r3a237,前田陽菜,student,valid
20204006,r3a229,山崎優奈,student,valid
20204008,r3a103,高橋太郎,student,valid
20204009,r3a224,鈴木大輔,student,valid
20204010,r3a102,森葵,student,valid
20204011,r3a211,松本花子,student,valid
20204012,r3a216,藤田大輔,student,valid
20204013,r3a207,山崎陸,student,valid
20204014,r3a203,佐々木直樹,student,valid
20204015,r3a111,松本翔太,student,valid
20204016,r3a217,山本凛,student,valid
20204017,r3a213,渡辺健太,student,valid
20204018,r3a223,池田拓也,student,valid
20204019,r3a219,中島葵,student,valid
20204020,r3a230,松本健太,student,valid
20204021,r3a113,池田凛,student,valid
20204022,r3a125,佐々木優樹,student,valid
20204023,r3a220,井上杏奈,student,valid
20204024,r3a120,池田海斗,student,valid
20204025,r3a236,吉田優奈,student,valid
20204026,r3a232,小林結衣,student,valid
20204027,r3a202,山本海斗,student,valid
20204029,r3a101,木村優奈,student,valid
20204030,r3a215,池田太郎,student,valid
20204033,r3a115,鈴木太郎,student,valid
20204034,r3a121,井上拓也,student,valid
20204035,r3a209,山田翔太,student,valid
20204037,r3a135,山本健太,student,valid
20204038,r3a221,前田美咲,student,valid
20204039,r3a110,藤田遥,student,valid
20204040,r3a106,佐藤拓也,student,valid
20204041,r3a133,渡辺美咲,student,valid
20204042,r3a218,林彩香,student,valid
20204043,r3a114,佐藤拓也,student,valid
20204045,r3a231,山本結衣,student,valid
20204047,r3a128,森凛,student,valid
20204048,r3a131,佐々木美咲,student,valid
20204049,r3a227,中村花子,student,valid
20204050,r3a212,池田陽菜,student,valid
20204051,r3a123,中島健太,student,valid
20204052,r3a234,中島優樹,student,valid
20204054,r3a208,伊藤大輔,student,valid
20204055,r3a129,高橋陸,student,valid
